scenario,period,year_min,year_max,crop,crop_label,mode,mode_label,hazard,hazard_label,metric,n,n_samples,mean,sd,ci95_low,ci95_high,mean_sd_ci
ssp126,future_2070_2100,2070,2100,soyb,Soybean,total,Total,wet,Waterlogging stress,loss_million_tonnes,10,10,1.616769998887507,0.1048019250915374,1.5518130927414238,1.6817269050335903,1.617 ? 0.105 (1.552-1.682)
ssp126,future_2070_2100,2070,2100,whea,Wheat,total,Total,dry,Drought stress,loss_pct,10,10,3.649804773598015,0.5950322961646088,3.280999935498968,4.018609611697062,3.650 ? 0.595 (3.281-4.019)
ssp126,future_2070_2100,2070,2100,whea,Wheat,total,Total,dry,Drought stress,loss_million_tonnes,10,10,14.443147814497287,2.347690912025628,12.98803391177781,15.898261717216768,14.443 ? 2.348 (12.988-15.898)
ssp126,future_2070_2100,2070,2100,whea,Wheat,total,Total,total,Total water stress,loss_pct,10,10,3.909868252076659,0.585216366684454,3.547147390101353,4.272589114051966,3.910 ? 0.585 (3.547-4.273)
ssp126,future_2070_2100,2070,2100,whea,Wheat,total,Total,total,Total water stress,loss_million_tonnes,10,10,15.47398320858444,2.308401799805321,14.043220949909935,16.90474546725894,15.474 ? 2.308 (14.043-16.905)
ssp126,future_2070_2100,2070,2100,whea,Wheat,total,Total,wet,Waterlogging stress,loss_pct,10,10,0.3917203613864533,0.0312089989345179,0.3723768234415917,0.4110638993313149,0.392 ? 0.031 (0.372-0.411)
ssp126,future_2070_2100,2070,2100,whea,Wheat,total,Total,wet,Waterlogging stress,loss_million_tonnes,10,10,1.5515503598289642,0.1269187055996781,1.4728853311033956,1.6302153885545327,1.552 ? 0.127 (1.473-1.630)
ssp585,future_2070_2100,2070,2100,all4,All four crops,total,Total,dry,Drought stress,loss_pct,10,10,2.992808357957857,0.4566229666935739,2.709790511045657,3.275826204870057,2.993 ? 0.457 (2.710-3.276)
ssp585,future_2070_2100,2070,2100,all4,All four crops,total,Total,dry,Drought stress,loss_million_tonnes,10,10,39.26904509066778,5.972502704326884,35.56724956273891,42.970840618596654,39.269 ? 5.973 (35.567-42.971)
ssp585,future_2070_2100,2070,2100,all4,All four crops,total,Total,total,Total water stress,loss_pct,10,10,5.512884373372365,0.4689913940345939,5.222200495771667,5.803568250973062,5.513 ? 0.469 (5.222-5.804)
ssp585,future_2070_2100,2070,2100,all4,All four crops,total,Total,total,Total water stress,loss_million_tonnes,10,10,72.42590409275695,6.190844935385852,68.58877864795646,76.26302953755744,72.426 ? 6.191 (68.589-76.263)
ssp585,future_2070_2100,2070,2100,all4,All four crops,total,Total,wet,Waterlogging stress,loss_pct,10,10,1.7034963120230509,0.1580150706207383,1.6055575565754483,1.8014350674706532,1.703 ? 0.158 (1.606-1.801)
ssp585,future_2070_2100,2070,2100,all4,All four crops,total,Total,wet,Waterlogging stress,loss_million_tonnes,10,10,22.465031576984096,2.1376323750332062,21.14011330436094,23.78994984960725,22.465 ? 2.138 (21.140-23.790)
ssp585,future_2070_2100,2070,2100,maiz,Maize,total,Total,dry,Drought stress,loss_pct,10,10,2.6973034083978,0.3180739242749957,2.500159147654485,2.894447669141113,2.697 ? 0.318 (2.500-2.894)
ssp585,future_2070_2100,2070,2100,maiz,Maize,total,Total,dry,Drought stress,loss_million_tonnes,10,10,14.919509806577532,1.7553975086527158,13.8315031586173,16.007516454537765,14.920 ? 1.755 (13.832-16.008)
ssp585,future_2070_2100,2070,2100,maiz,Maize,total,Total,total,Total water stress,loss_pct,10,10,5.73453540131776,0.3826755356764545,5.497350646995487,5.971720155640033,5.735 ? 0.383 (5.497-5.972)
ssp585,future_2070_2100,2070,2100,maiz,Maize,total,Total,total,Total water stress,loss_million_tonnes,10,10,31.712534233473765,2.118099754608619,30.3997224044164,33.02534606253113,31.713 ? 2.118 (30.400-33.025)
ssp585,future_2070_2100,2070,2100,maiz,Maize,total,Total,wet,Waterlogging stress,loss_pct,10,10,1.3139066244555675,0.1240320065241269,1.2370307903536548,1.3907824585574802,1.314 ? 0.124 (1.237-1.391)
ssp585,future_2070_2100,2070,2100,maiz,Maize,total,Total,wet,Waterlogging stress,loss_million_tonnes,10,10,7.259864256181459,0.6920971272875792,6.830898012460967,7.68883049990195,7.260 ? 0.692 (6.831-7.689)
ssp585,future_2070_2100,2070,2100,rice,Rice,total,Total,dry,Drought stress,loss_pct,10,10,1.3915436754584785,0.1430113513945189,1.3029043215320646,1.4801830293848923,1.392 ? 0.143 (1.303-1.480)
ssp585,future_2070_2100,2070,2100,rice,Rice,total,Total,dry,Drought stress,loss_million_tonnes,10,10,2.9594254604126005,0.2966291238079102,2.7755728247042777,3.1432780961209232,2.959 ? 0.297 (2.776-3.143)
ssp585,future_2070_2100,2070,2100,rice,Rice,total,Total,total,Total water stress,loss_pct,10,10,7.614093672677167,0.5588826336124603,7.267694627559131,7.960492717795202,7.614 ? 0.559 (7.268-7.960)
ssp585,future_2070_2100,2070,2100,rice,Rice,total,Total,total,Total water stress,loss_million_tonnes,10,10,16.12855118674968,1.3236555310193836,15.3081409889115,16.948961384587857,16.129 ? 1.324 (15.308-16.949)
ssp585,future_2070_2100,2070,2100,rice,Rice,total,Total,wet,Waterlogging stress,loss_pct,10,10,5.798734753921011,0.6222469744715526,5.413062083451175,6.184407424390846,5.799 ? 0.622 (5.413-6.184)
ssp585,future_2070_2100,2070,2100,rice,Rice,total,Total,wet,Waterlogging stress,loss_million_tonnes,10,10,12.356670664171212,1.42405500946841,11.47403222488582,13.239309103456607,12.357 ? 1.424 (11.474-13.239)
ssp585,future_2070_2100,2070,2100,soyb,Soybean,total,Total,dry,Drought stress,loss_pct,10,10,2.126932473002288,0.4289362233259597,1.8610750474167956,2.3927898985877807,2.127 ? 0.429 (1.861-2.393)
ssp585,future_2070_2100,2070,2100,soyb,Soybean,total,Total,dry,Drought stress,loss_million_tonnes,10,10,3.153001104348974,0.6271428818510684,2.764293919046769,3.54170828965118,3.153 ? 0.627 (2.764-3.542)
