scenario,period,year_min,year_max,gcm,crop,crop_label,mode,mode_label,hazard,hazard_label,n_years,loss_pct,loss_million_tonnes,prod_nws_million_tonnes,expected_years
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,maiz,Maize,nonIrr,Rainfed,wet,Waterlogging stress,31,1.8686798181409818,7.573119527197305,405.0408679035911,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,maiz,Maize,total,Total,dry,Drought stress,31,2.223667170150841,11.762008147024847,528.7007058687071,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,maiz,Maize,total,Total,total,Total water stress,31,5.2066635949351285,27.53156232209665,528.7007058687071,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,maiz,Maize,total,Total,wet,Waterlogging stress,31,1.4319130189394662,7.573119527197305,528.7007058687071,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,rice,Rice,Irr,Irrigated,dry,Drought stress,31,0.0,0.0,85.32990477875994,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,rice,Rice,Irr,Irrigated,total,Total water stress,31,4.004543832244983,3.41376066237228,85.32990477875994,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,rice,Rice,Irr,Irrigated,wet,Waterlogging stress,31,0.0,0.0,85.32990477875994,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,rice,Rice,nonIrr,Rainfed,dry,Drought stress,31,2.9121566787142816,3.6671095557168973,123.60607502179671,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,rice,Rice,nonIrr,Rainfed,total,Total water stress,31,10.098133435399872,12.602007814518883,123.60607502179671,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,rice,Rice,nonIrr,Rainfed,wet,Waterlogging stress,31,9.829169904046074,12.273049445506322,123.60607502179671,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,rice,Rice,total,Total,dry,Drought stress,31,1.7197869167760376,3.6671095557168973,208.93597980055668,31
ssp126,future_2070_2100,2070,2100,CNRM-CM6-1,rice,Rice,total,Total,total,Total water stress,31,7.607203138148814,16.015768476891164,208.93597980055668,31
