scenario,period,year_min,year_max,crop,crop_label,mode,mode_label,hazard,hazard_label,metric,n,n_samples,mean,sd,ci95_low,ci95_high,mean_sd_ci
historical,historical_1990_2019,1990,2019,rice,Rice,Irr,Irrigated,total,Total water stress,loss_million_tonnes,30,30,2.333382412498826,0.9849777036360221,1.9809126679770488,2.6858521570206033,2.333 ? 0.985 (1.981-2.686)
historical,historical_1990_2019,1990,2019,rice,Rice,Irr,Irrigated,wet,Waterlogging stress,loss_pct,30,30,0.0,0.0,0.0,0.0,0.000 ? 0.000 (0.000-0.000)
historical,historical_1990_2019,1990,2019,rice,Rice,Irr,Irrigated,wet,Waterlogging stress,loss_million_tonnes,30,30,0.0,0.0,0.0,0.0,0.000 ? 0.000 (0.000-0.000)
historical,historical_1990_2019,1990,2019,rice,Rice,nonIrr,Rainfed,dry,Drought stress,loss_pct,30,30,0.2579464383885655,0.11817679925177994,0.21565741388891196,0.30023546288821906,0.258 ? 0.118 (0.216-0.300)
historical,historical_1990_2019,1990,2019,rice,Rice,nonIrr,Rainfed,dry,Drought stress,loss_million_tonnes,30,30,0.35161649206904205,0.1472658620109418,0.29891808014746923,0.40431490399061487,0.352 ? 0.147 (0.299-0.404)
historical,historical_1990_2019,1990,2019,rice,Rice,nonIrr,Rainfed,total,Total water stress,loss_pct,30,30,2.018376326718002,1.0274798080525003,1.6506973994603993,2.386055253975605,2.018 ? 1.027 (1.651-2.386)
historical,historical_1990_2019,1990,2019,rice,Rice,nonIrr,Rainfed,total,Total water stress,loss_million_tonnes,30,30,2.800169690298423,1.513508989741495,2.2585674540484857,3.3417719265483607,2.800 ? 1.514 (2.259-3.342)
historical,historical_1990_2019,1990,2019,rice,Rice,nonIrr,Rainfed,wet,Waterlogging stress,loss_pct,30,30,1.6236226896493664,1.016335607939811,1.2599316631859838,1.987313716112749,1.624 ? 1.016 (1.260-1.987)
historical,historical_1990_2019,1990,2019,rice,Rice,nonIrr,Rainfed,wet,Waterlogging stress,loss_million_tonnes,30,30,2.2571836242521646,1.4980406096500605,1.7211166767289334,2.7932505717753955,2.257 ? 1.498 (1.721-2.793)
historical,historical_1990_2019,1990,2019,rice,Rice,total,Total,dry,Drought stress,loss_pct,30,30,0.1512004695918264,0.06562177667294496,0.1277180183915654,0.1746829207920874,0.151 ? 0.066 (0.128-0.175)
historical,historical_1990_2019,1990,2019,rice,Rice,total,Total,dry,Drought stress,loss_million_tonnes,30,30,0.35161649206904205,0.1472658620109418,0.29891808014746923,0.40431490399061487,0.352 ? 0.147 (0.299-0.404)
historical,historical_1990_2019,1990,2019,rice,Rice,total,Total,total,Total water stress,loss_pct,30,30,2.1780351695373326,0.8368755762524817,1.8785630906574349,2.47750724841723,2.178 ? 0.837 (1.879-2.478)
historical,historical_1990_2019,1990,2019,rice,Rice,total,Total,total,Total water stress,loss_million_tonnes,30,30,5.133552102797251,2.1768759465224012,4.3545670497407745,5.912537155853727,5.134 ? 2.177 (4.355-5.913)
historical,historical_1990_2019,1990,2019,rice,Rice,total,Total,wet,Waterlogging stress,loss_pct,30,30,0.9538674845224571,0.5892277649276778,0.7430150367944199,1.1647199322504942,0.954 ? 0.589 (0.743-1.165)
historical,historical_1990_2019,1990,2019,rice,Rice,total,Total,wet,Waterlogging stress,loss_million_tonnes,30,30,2.2571836242521646,1.4980406096500605,1.7211166767289334,2.7932505717753955,2.257 ? 1.498 (1.721-2.793)
historical,historical_1990_2019,1990,2019,soyb,Soybean,Irr,Irrigated,dry,Drought stress,loss_pct,30,30,0.0,0.0,0.0,0.0,0.000 ? 0.000 (0.000-0.000)
historical,historical_1990_2019,1990,2019,soyb,Soybean,Irr,Irrigated,dry,Drought stress,loss_million_tonnes,30,30,0.0,0.0,0.0,0.0,0.000 ? 0.000 (0.000-0.000)
historical,historical_1990_2019,1990,2019,soyb,Soybean,Irr,Irrigated,total,Total water stress,loss_pct,30,30,2.598069594775748,0.9034272250404447,2.274782314232702,2.9213568753187937,2.598 ? 0.903 (2.275-2.921)
historical,historical_1990_2019,1990,2019,soyb,Soybean,Irr,Irrigated,total,Total water stress,loss_million_tonnes,30,30,0.25175439217292817,0.09767887343114201,0.21680045622457486,0.28670832812128144,0.252 ? 0.098 (0.217-0.287)
historical,historical_1990_2019,1990,2019,soyb,Soybean,Irr,Irrigated,wet,Waterlogging stress,loss_pct,30,30,0.0,0.0,0.0,0.0,0.000 ? 0.000 (0.000-0.000)
historical,historical_1990_2019,1990,2019,soyb,Soybean,Irr,Irrigated,wet,Waterlogging stress,loss_million_tonnes,30,30,0.0,0.0,0.0,0.0,0.000 ? 0.000 (0.000-0.000)
