scenario,period,year_min,year_max,crop,crop_label,mode,mode_label,hazard,hazard_label,metric,n_samples,mean,sd,ci95_low,ci95_high,mean_sd_ci
historical,historical_1990_2019,1990,2019,soyb,Soybean,nonIrr,Rainfed,total,Total water stress,loss_million_tonnes,1,1.790168077586089,,,,1.790
historical,historical_1990_2019,1990,2019,soyb,Soybean,nonIrr,Rainfed,wet,Waterlogging stress,loss_pct,1,0.40780980068509837,,,,0.408
historical,historical_1990_2019,1990,2019,soyb,Soybean,nonIrr,Rainfed,wet,Waterlogging stress,loss_million_tonnes,1,0.5162572260500153,,,,0.516
historical,historical_1990_2019,1990,2019,soyb,Soybean,total,Total,dry,Drought stress,loss_pct,1,0.8650706515295141,,,,0.865
historical,historical_1990_2019,1990,2019,soyb,Soybean,total,Total,dry,Drought stress,loss_million_tonnes,1,1.1749637906907464,,,,1.175
historical,historical_1990_2019,1990,2019,soyb,Soybean,total,Total,total,Total water stress,loss_pct,1,1.5014170912488412,,,,1.501
historical,historical_1990_2019,1990,2019,soyb,Soybean,total,Total,total,Total water stress,loss_million_tonnes,1,2.0419224697590175,,,,2.042
historical,historical_1990_2019,1990,2019,soyb,Soybean,total,Total,wet,Waterlogging stress,loss_pct,1,0.37873630909347095,,,,0.379
historical,historical_1990_2019,1990,2019,soyb,Soybean,total,Total,wet,Waterlogging stress,loss_million_tonnes,1,0.5162572260500153,,,,0.516
historical,historical_1990_2019,1990,2019,whea,Wheat,Irr,Irrigated,dry,Drought stress,loss_pct,1,0.0,,,,0.000
historical,historical_1990_2019,1990,2019,whea,Wheat,Irr,Irrigated,dry,Drought stress,loss_million_tonnes,1,0.0,,,,0.000
historical,historical_1990_2019,1990,2019,whea,Wheat,Irr,Irrigated,total,Total water stress,loss_pct,1,1.010402166226615,,,,1.010
historical,historical_1990_2019,1990,2019,whea,Wheat,Irr,Irrigated,total,Total water stress,loss_million_tonnes,1,1.2010749629883604,,,,1.201
historical,historical_1990_2019,1990,2019,whea,Wheat,Irr,Irrigated,wet,Waterlogging stress,loss_pct,1,0.0,,,,0.000
historical,historical_1990_2019,1990,2019,whea,Wheat,Irr,Irrigated,wet,Waterlogging stress,loss_million_tonnes,1,0.0,,,,0.000
