scenario,gcm,crop,hazard,fut_anchor,hist_anchor,bias_offset
ssp126,MPI-ESM1-2-HR,soyb,dry,1.2277757957393924,0.745886796197771,-0.48188899954162145
ssp126,MPI-ESM1-2-HR,soyb,wet,0.47917222617178085,0.6392512212689226,0.1600789950971418
ssp126,MPI-ESM1-2-HR,whea,dry,2.5732437288143037,1.544677140010987,-1.0285665888033166
ssp126,MPI-ESM1-2-HR,whea,wet,0.13828086632147185,0.20894466264059597,0.07066379631912412
ssp126,MRI-ESM2-0,maiz,dry,1.2286703873447686,1.227975369268972,-0.0006950180757965274
ssp126,MRI-ESM2-0,maiz,wet,0.628359574381663,0.5909455911892417,-0.037413983192421285
ssp126,MRI-ESM2-0,rice,dry,0.46263610278924683,0.22202160235099372,-0.2406145004382531
ssp126,MRI-ESM2-0,rice,wet,1.6467715776821883,1.5539773327728472,-0.09279424490934107
ssp126,MRI-ESM2-0,soyb,dry,0.8460897056443292,0.745886796197771,-0.10020290944655819
ssp126,MRI-ESM2-0,soyb,wet,0.32242877941464165,0.6392512212689226,0.316822441854281
ssp126,MRI-ESM2-0,whea,dry,2.43031001275229,1.544677140010987,-0.8856328727413028
ssp126,MRI-ESM2-0,whea,wet,0.1831483320956679,0.20894466264059597,0.02579633054492808
ssp126,UKESM1-0-LL,maiz,dry,1.3541686780874158,1.227975369268972,-0.1261933088184437
ssp126,UKESM1-0-LL,maiz,wet,0.452721995552338,0.5909455911892417,0.13822359563690373
ssp126,UKESM1-0-LL,rice,dry,0.39019936421085594,0.22202160235099372,-0.16817776185986222
ssp126,UKESM1-0-LL,rice,wet,1.6739996813110927,1.5539773327728472,-0.12002234853824545
ssp126,UKESM1-0-LL,soyb,dry,0.6554329173508375,0.745886796197771,0.09045387884693346
ssp126,UKESM1-0-LL,soyb,wet,0.38041945370973035,0.6392512212689226,0.2588317675591923
ssp126,UKESM1-0-LL,whea,dry,3.02585490819745,1.544677140010987,-1.4811777681864629
ssp126,UKESM1-0-LL,whea,wet,0.150943735791273,0.20894466264059597,0.05800092684932298
ssp585,CNRM-CM6-1,maiz,dry,1.382486028673028,1.227975369268972,-0.15451065940405595
ssp585,CNRM-CM6-1,maiz,wet,0.41332349980839933,0.5909455911892417,0.1776220913808424
ssp585,CNRM-CM6-1,rice,dry,0.30304614170036787,0.22202160235099372,-0.08102453934937415
ssp585,CNRM-CM6-1,rice,wet,1.57179510347378,1.5539773327728472,-0.017817770700932822
ssp585,CNRM-CM6-1,soyb,dry,1.321771914149937,0.745886796197771,-0.5758851179521661
ssp585,CNRM-CM6-1,soyb,wet,0.221911665231804,0.6392512212689226,0.41733955603711864
ssp585,CNRM-CM6-1,whea,dry,2.9426333668017435,1.544677140010987,-1.3979562267907564
ssp585,CNRM-CM6-1,whea,wet,0.12404669081315331,0.20894466264059597,0.08489797182744266
ssp585,CNRM-ESM2-1,maiz,dry,1.1790949345534663,1.227975369268972,0.04888043471550585
ssp585,CNRM-ESM2-1,maiz,wet,0.6465881460316929,0.5909455911892417,-0.055642554842451175
ssp585,CNRM-ESM2-1,rice,dry,0.41414260633195854,0.22202160235099372,-0.19212100398096482
ssp585,CNRM-ESM2-1,rice,wet,1.5383078915010664,1.5539773327728472,0.015669441271780826
ssp585,CNRM-ESM2-1,soyb,dry,0.933370651204663,0.745886796197771,-0.18748385500689202
ssp585,CNRM-ESM2-1,soyb,wet,0.5543024895745459,0.6392512212689226,0.08494873169437678
ssp585,CNRM-ESM2-1,whea,dry,2.8082232150207216,1.544677140010987,-1.2635460750097345
ssp585,CNRM-ESM2-1,whea,wet,0.0752296241630258,0.20894466264059597,0.13371503847757016
ssp585,CanESM5,maiz,dry,1.687045535279821,1.227975369268972,-0.45907016601084893
ssp585,CanESM5,maiz,wet,0.5582700038976143,0.5909455911892417,0.03267558729162745
ssp585,CanESM5,rice,dry,0.43977534933267615,0.22202160235099372,-0.21775374698168243
ssp585,CanESM5,rice,wet,2.6293463947632745,1.5539773327728472,-1.0753690619904273
ssp585,CanESM5,soyb,dry,1.9986014557995166,0.745886796197771,-1.2527146596017458
ssp585,CanESM5,soyb,wet,0.4038101367867618,0.6392512212689226,0.23544108448216083
ssp585,CanESM5,whea,dry,2.7411476030159294,1.544677140010987,-1.1964704630049423
ssp585,CanESM5,whea,wet,0.08516315186599378,0.20894466264059597,0.12378151077460219
ssp585,EC-Earth3,maiz,dry,0.9892682667428915,1.227975369268972,0.23870710252608063
ssp585,EC-Earth3,maiz,wet,0.6449578806769024,0.5909455911892417,-0.05401228948766068
ssp585,EC-Earth3,rice,dry,0.5382747508850538,0.22202160235099372,-0.3162531485340601
ssp585,EC-Earth3,rice,wet,2.2332804039379286,1.5539773327728472,-0.6793030711650814
ssp585,EC-Earth3,soyb,dry,0.7876372370584827,0.745886796197771,-0.04175044086071167
ssp585,EC-Earth3,soyb,wet,0.47542419829794297,0.6392512212689226,0.16382702297097967
ssp585,EC-Earth3,whea,dry,1.7041423701904523,1.544677140010987,-0.15946523017946523
ssp585,EC-Earth3,whea,wet,0.21340385647672266,0.20894466264059597,-0.004459193836126696
ssp585,GFDL-ESM4,maiz,dry,0.9349557370261502,1.227975369268972,0.2930196322428219
ssp585,GFDL-ESM4,maiz,wet,0.4963301051719736,0.5909455911892417,0.0946154860172681
ssp585,GFDL-ESM4,rice,dry,0.4660369589349287,0.22202160235099372,-0.24401535658393497
ssp585,GFDL-ESM4,rice,wet,1.6828305255098601,1.5539773327728472,-0.1288531927370129
ssp585,GFDL-ESM4,soyb,dry,0.8857939921525062,0.745886796197771,-0.13990719595473522
