crop,hazard,year,value,q25,q75,scenario,n_gcm,value_smooth,q25_smooth,q75_smooth
maiz,wet,2017,0.6218394487279796,0.6218394487279796,0.6218394487279796,historical,1,0.5909455911892417,0.5909455911892417,0.5909455911892417
maiz,wet,2018,0.6138384799057593,0.6138384799057593,0.6138384799057593,historical,1,0.6266571243835154,0.6266571243835154,0.6266571243835154
maiz,wet,2019,0.584363314769961,0.584363314769961,0.584363314769961,historical,1,0.6066804144679,0.6066804144679,0.6066804144679
rice,dry,1980,0.1190469768264988,0.1190469768264988,0.1190469768264988,historical,1,0.10044712016349437,0.10044712016349437,0.10044712016349437
rice,dry,1981,0.0694733180483851,0.0694733180483851,0.0694733180483851,historical,1,0.11868784349788762,0.11868784349788762,0.11868784349788762
rice,dry,1982,0.1128210656155992,0.1128210656155992,0.1128210656155992,historical,1,0.11073519538641992,0.11073519538641992,0.11073519538641992
rice,dry,1983,0.1734100135010674,0.1734100135010674,0.1734100135010674,historical,1,0.09300135179385713,0.09300135179385713,0.09300135179385713
rice,dry,1984,0.0789246029405491,0.0789246029405491,0.0789246029405491,historical,1,0.10190801570093702,0.10190801570093702,0.10190801570093702
rice,dry,1985,0.0303777588636849,0.0303777588636849,0.0303777588636849,historical,1,0.09133614492333733,0.09133614492333733,0.09133614492333733
rice,dry,1986,0.1140066375837845,0.1140066375837845,0.1140066375837845,historical,1,0.06443679725875653,0.06443679725875653,0.06443679725875653
rice,dry,1987,0.0599617117276008,0.0599617117276008,0.0599617117276008,historical,1,0.05636753911669434,0.05636753911669434,0.05636753911669434
rice,dry,1988,0.0389132751781634,0.0389132751781634,0.0389132751781634,historical,1,0.07806626037649228,0.07806626037649228,0.07806626037649228
rice,dry,1989,0.0385783122302381,0.0385783122302381,0.0385783122302381,historical,1,0.06722343440565245,0.06722343440565245,0.06722343440565245
rice,dry,1990,0.1388713651626746,0.1388713651626746,0.1388713651626746,historical,1,0.09657492294498433,0.09657492294498433,0.09657492294498433
rice,dry,1991,0.0597925077295854,0.0597925077295854,0.0597925077295854,historical,1,0.11069135836511253,0.11069135836511253,0.11069135836511253
rice,dry,1992,0.2067191544242602,0.2067191544242602,0.2067191544242602,historical,1,0.1176988206269192,0.1176988206269192,0.1176988206269192
rice,dry,1993,0.1094954522788044,0.1094954522788044,0.1094954522788044,historical,1,0.10304940819437133,0.10304940819437133,0.10304940819437133
rice,dry,1994,0.0736156235392715,0.0736156235392715,0.0736156235392715,historical,1,0.10378067581822023,0.10378067581822023,0.10378067581822023
rice,dry,1995,0.0656243029999352,0.0656243029999352,0.0656243029999352,historical,1,0.08259749205541396,0.08259749205541396,0.08259749205541396
rice,dry,1996,0.0634488458488299,0.0634488458488299,0.0634488458488299,historical,1,0.10285108962323153,0.10285108962323153,0.10285108962323153
rice,dry,1997,0.1008032356102288,0.1008032356102288,0.1008032356102288,historical,1,0.10834043204768258,0.10834043204768258,0.10834043204768258
rice,dry,1998,0.2107634401178923,0.2107634401178923,0.2107634401178923,historical,1,0.11092100375623352,0.11092100375623352,0.11092100375623352
rice,dry,1999,0.1010623356615267,0.1010623356615267,0.1010623356615267,historical,1,0.11861315165021677,0.11861315165021677,0.11861315165021677
rice,dry,2000,0.0785271615426899,0.0785271615426899,0.0785271615426899,historical,1,0.13135163470136071,0.13135163470136071,0.13135163470136071
rice,dry,2001,0.1019095853187462,0.1019095853187462,0.1019095853187462,historical,1,0.11255942698201057,0.11255942698201057,0.11255942698201057
rice,dry,2002,0.1644956508659484,0.1644956508659484,0.1644956508659484,historical,1,0.12563574492452018,0.12563574492452018,0.12563574492452018
rice,dry,2003,0.1168024015211417,0.1168024015211417,0.1168024015211417,historical,1,0.13974868398498366,0.13974868398498366,0.13974868398498366
rice,dry,2004,0.1664439253740746,0.1664439253740746,0.1664439253740746,historical,1,0.1402020351702698,0.1402020351702698,0.1402020351702698
rice,dry,2005,0.1490918568450074,0.1490918568450074,0.1490918568450074,historical,1,0.1416781653480021,0.1416781653480021,0.1416781653480021
rice,dry,2006,0.1041763412451769,0.1041763412451769,0.1041763412451769,historical,1,0.14340517431446959,0.14340517431446959,0.14340517431446959
rice,dry,2007,0.1718763017546099,0.1718763017546099,0.1718763017546099,historical,1,0.1386331342364668,0.1386331342364668,0.1386331342364668
rice,dry,2008,0.1254374463534792,0.1254374463534792,0.1254374463534792,historical,1,0.1698416596032926,0.1698416596032926,0.1698416596032926
rice,dry,2009,0.1425837249840607,0.1425837249840607,0.1425837249840607,historical,1,0.177676163668611,0.177676163668611,0.177676163668611
rice,dry,2010,0.3051344836791362,0.3051344836791362,0.3051344836791362,historical,1,0.19049209897725355,0.19049209897725355,0.19049209897725355
rice,dry,2011,0.143348861571769,0.143348861571769,0.143348861571769,historical,1,0.19182704647104376,0.19182704647104376,0.19182704647104376
rice,dry,2012,0.2359559782978228,0.2359559782978228,0.2359559782978228,historical,1,0.19487308336437592,0.19487308336437592,0.19487308336437592
rice,dry,2013,0.1321121838224301,0.1321121838224301,0.1321121838224301,historical,1,0.1775630456802173,0.1775630456802173,0.1775630456802173
rice,dry,2014,0.1578139094507215,0.1578139094507215,0.1578139094507215,historical,1,0.2017438963106731,0.2017438963106731,0.2017438963106731
rice,dry,2015,0.2185842952583432,0.2185842952583432,0.2185842952583432,historical,1,0.1797669644185375,0.1797669644185375,0.1797669644185375
rice,dry,2016,0.264253114724048,0.264253114724048,0.264253114724048,historical,1,0.20525301632950374,0.20525301632950374,0.20525301632950374
rice,dry,2017,0.1260713188371449,0.1260713188371449,0.1260713188371449,historical,1,0.22202160235099372,0.22202160235099372,0.22202160235099372
rice,dry,2018,0.2595424433772611,0.2595424433772611,0.2595424433772611,historical,1,0.22288092912415636,0.22288092912415636,0.22288092912415636
rice,dry,2019,0.2416568395581714,0.2416568395581714,0.2416568395581714,historical,1,0.20909020059085917,0.20909020059085917,0.20909020059085917
rice,wet,1980,0.3583363835870149,0.3583363835870149,0.3583363835870149,historical,1,0.25271116340447825,0.25271116340447825,0.25271116340447825
rice,wet,1981,0.2164231060199509,0.2164231060199509,0.2164231060199509,historical,1,0.2652429803000441,0.2652429803000441,0.2652429803000441
rice,wet,1982,0.183374000606469,0.183374000606469,0.183374000606469,historical,1,0.2746302456138973,0.2746302456138973,0.2746302456138973
rice,wet,1983,0.3028384309867418,0.3028384309867418,0.3028384309867418,historical,1,0.273981512782676,0.273981512782676,0.273981512782676
rice,wet,1984,0.31217930686931,0.31217930686931,0.31217930686931,historical,1,0.34262685073539756,0.34262685073539756,0.34262685073539756
rice,wet,1985,0.3550927194309085,0.3550927194309085,0.3550927194309085,historical,1,0.4224839310952565,0.4224839310952565,0.4224839310952565
rice,wet,1986,0.5596497957835587,0.5596497957835587,0.5596497957835587,historical,1,0.4608946549028975,0.4608946549028975,0.4608946549028975
rice,wet,1987,0.582659402405764,0.582659402405764,0.582659402405764,historical,1,0.4609782252310268,0.4609782252310268,0.4609782252310268
rice,wet,1988,0.4948920500249466,0.4948920500249466,0.4948920500249466,historical,1,0.5438296228095513,0.5438296228095513,0.5438296228095513
rice,wet,1989,0.3125971585099561,0.3125971585099561,0.3125971585099561,historical,1,0.5153891840124177,0.5153891840124177,0.5153891840124177
rice,wet,1990,0.769349707323531,0.769349707323531,0.769349707323531,historical,1,0.44317414800824945,0.44317414800824945,0.44317414800824945
rice,wet,1991,0.4174476017978909,0.4174476017978909,0.4174476017978909,historical,1,0.3786802597668576,0.3786802597668576,0.3786802597668576
rice,wet,1992,0.2215842223849226,0.2215842223849226,0.2215842223849226,historical,1,0.5080856283391745,0.5080856283391745,0.5080856283391745
rice,wet,1993,0.1724226088179873,0.1724226088179873,0.1724226088179873,historical,1,0.43404298466808394,0.43404298466808394,0.43404298466808394
rice,wet,1994,0.9596240013715404,0.9596240013715404,0.9596240013715404,historical,1,0.508887869750055,0.508887869750055,0.508887869750055
rice,wet,1995,0.3991364889680783,0.3991364889680783,0.3991364889680783,historical,1,0.6043201129831477,0.6043201129831477,0.6043201129831477
rice,wet,1996,0.7916720272077462,0.7916720272077462,0.7916720272077462,historical,1,0.6655566613442747,0.6655566613442747,0.6655566613442747
rice,wet,1997,0.6987454385503861,0.6987454385503861,0.6987454385503861,historical,1,0.8557634131863828,0.8557634131863828,0.8557634131863828
rice,wet,1998,0.4786053506236225,0.4786053506236225,0.4786053506236225,historical,1,1.0919870162502363,1.0919870162502363,1.0919870162502363
rice,wet,1999,1.910657760582081,1.910657760582081,1.910657760582081,historical,1,1.0889854921315314,1.0889854921315314,1.0889854921315314
rice,wet,2000,1.5802545042873453,1.5802545042873453,1.5802545042873453,historical,1,1.0837381182319679,1.0837381182319679,1.0837381182319679
rice,wet,2001,0.7766644066142222,0.7766644066142222,0.7766644066142222,historical,1,1.080203161148347,1.080203161148347,1.080203161148347
rice,wet,2002,0.6725085690525684,0.6725085690525684,0.6725085690525684,historical,1,0.8286475218173365,0.8286475218173365,0.8286475218173365
rice,wet,2003,0.4609305652055183,0.4609305652055183,0.4609305652055183,historical,1,0.5757217663402852,0.5757217663402852,0.5757217663402852
rice,wet,2004,0.6528795639270287,0.6528795639270287,0.6528795639270287,historical,1,0.5715903504351131,0.5715903504351131,0.5715903504351131
