scenario,crop,hazard,gcm,value,n_years,period,complete_period
ssp585,rice,dry,CanESM5,1.1050364596962956,31,2070-2100,True
ssp585,rice,dry,EC-Earth3,0.8402377143105181,31,2070-2100,True
ssp585,rice,dry,GFDL-ESM4,1.1499499270824023,31,2070-2100,True
ssp585,rice,dry,IPSL-CM6A-LR,1.544029841261477,31,2070-2100,True
ssp585,rice,dry,MIROC6,1.1420385203365777,31,2070-2100,True
ssp585,rice,dry,MPI-ESM1-2-HR,1.150047790312685,31,2070-2100,True
ssp585,rice,dry,MRI-ESM2-0,0.9019074067172079,31,2070-2100,True
ssp585,rice,dry,UKESM1-0-LL,1.1535848612485387,31,2070-2100,True
ssp585,rice,wet,CNRM-CM6-1,5.1904170797366485,31,2070-2100,True
ssp585,rice,wet,CNRM-ESM2-1,5.358906651348755,31,2070-2100,True
ssp585,rice,wet,CanESM5,4.9729790787673105,31,2070-2100,True
ssp585,rice,wet,EC-Earth3,5.844954921671714,31,2070-2100,True
ssp585,rice,wet,GFDL-ESM4,5.076035196564141,31,2070-2100,True
ssp585,rice,wet,IPSL-CM6A-LR,6.0967189336373595,31,2070-2100,True
ssp585,rice,wet,MIROC6,6.591172998129457,31,2070-2100,True
ssp585,rice,wet,MPI-ESM1-2-HR,6.5539654756592345,31,2070-2100,True
ssp585,rice,wet,MRI-ESM2-0,4.642186415423139,31,2070-2100,True
ssp585,rice,wet,UKESM1-0-LL,4.769819136662957,31,2070-2100,True
ssp585,soyb,dry,CNRM-CM6-1,1.5057579346853582,31,2070-2100,True
ssp585,soyb,dry,CNRM-ESM2-1,1.88473642313987,31,2070-2100,True
ssp585,soyb,dry,CanESM5,0.9128052078119964,31,2070-2100,True
ssp585,soyb,dry,EC-Earth3,1.6826973565736143,31,2070-2100,True
ssp585,soyb,dry,GFDL-ESM4,1.8001641399615917,31,2070-2100,True
ssp585,soyb,dry,IPSL-CM6A-LR,2.409245469127103,31,2070-2100,True
ssp585,soyb,dry,MIROC6,1.8990787778320353,31,2070-2100,True
ssp585,soyb,dry,MPI-ESM1-2-HR,2.54192336943874,31,2070-2100,True
ssp585,soyb,dry,MRI-ESM2-0,1.4399878055135613,31,2070-2100,True
ssp585,soyb,dry,UKESM1-0-LL,2.28874963024501,31,2070-2100,True
ssp585,soyb,wet,CNRM-CM6-1,1.369385402125692,31,2070-2100,True
ssp585,soyb,wet,CNRM-ESM2-1,1.1404734410194413,31,2070-2100,True
ssp585,soyb,wet,CanESM5,1.2781510267699299,31,2070-2100,True
ssp585,soyb,wet,EC-Earth3,1.3267280990245747,31,2070-2100,True
ssp585,soyb,wet,GFDL-ESM4,1.2885152196784815,31,2070-2100,True
ssp585,soyb,wet,IPSL-CM6A-LR,0.9251351903970229,31,2070-2100,True
ssp585,soyb,wet,MIROC6,1.2198087736027268,31,2070-2100,True
ssp585,soyb,wet,MPI-ESM1-2-HR,1.2360852184678304,31,2070-2100,True
ssp585,soyb,wet,MRI-ESM2-0,1.0231895891983565,31,2070-2100,True
ssp585,soyb,wet,UKESM1-0-LL,1.441548844750133,31,2070-2100,True
ssp585,whea,dry,CNRM-CM6-1,3.2340528527157604,31,2070-2100,True
ssp585,whea,dry,CNRM-ESM2-1,2.830113706455527,31,2070-2100,True
ssp585,whea,dry,CanESM5,2.5284102627163816,31,2070-2100,True
ssp585,whea,dry,EC-Earth3,2.8383517600049277,31,2070-2100,True
ssp585,whea,dry,GFDL-ESM4,1.8533283340057136,31,2070-2100,True
ssp585,whea,dry,IPSL-CM6A-LR,5.78897936412806,31,2070-2100,True
ssp585,whea,dry,MIROC6,5.297277697990315,31,2070-2100,True
ssp585,whea,dry,MPI-ESM1-2-HR,3.9714586456886787,31,2070-2100,True
ssp585,whea,dry,MRI-ESM2-0,3.4762453294095845,31,2070-2100,True
ssp585,whea,dry,UKESM1-0-LL,4.909650618973651,31,2070-2100,True
ssp585,whea,wet,CNRM-CM6-1,0.43749337411857564,31,2070-2100,True
ssp585,whea,wet,CNRM-ESM2-1,0.5253909308830019,31,2070-2100,True
ssp585,whea,wet,CanESM5,0.43134933694901784,31,2070-2100,True
ssp585,whea,wet,EC-Earth3,0.4367649502155491,31,2070-2100,True
ssp585,whea,wet,GFDL-ESM4,0.43816178254833577,31,2070-2100,True
ssp585,whea,wet,IPSL-CM6A-LR,0.3153646834726415,31,2070-2100,True
ssp585,whea,wet,MIROC6,0.45142629169066195,31,2070-2100,True
ssp585,whea,wet,MPI-ESM1-2-HR,0.46384518492643084,31,2070-2100,True
ssp585,whea,wet,MRI-ESM2-0,0.5155492544444641,31,2070-2100,True
ssp585,whea,wet,UKESM1-0-LL,0.430484331944403,31,2070-2100,True
