scenario,period,crop,crop_label,metric,n,n_samples,mean,sd,ci95_low,ci95_high
ssp585,near_2020_2049,all4,Four crops,loss_pct,9,9,3.172556338051594,0.227156810273475,3.024147222006257,3.320965454096931
ssp585,near_2020_2049,all4,Four crops,loss_million_tonnes,9,9,41.54715231111641,2.9780145629624353,39.60151612998096,43.49278849225187
ssp585,near_2020_2049,maiz,Maize,loss_pct,9,9,3.1857535038118105,0.22680363707927462,3.0375751275866847,3.3339318800369364
ssp585,near_2020_2049,maiz,Maize,loss_million_tonnes,9,9,17.551264266720626,1.2595066894853615,16.72838656292352,18.37414197051773
ssp585,near_2020_2049,rice,Rice,loss_pct,9,9,3.9014882176766212,0.3886247674526724,3.6475867029408753,4.155389732412367
ssp585,near_2020_2049,rice,Rice,loss_million_tonnes,9,9,8.127647987216859,0.8910755942702115,7.545478598960321,8.709817375473397
ssp585,near_2020_2049,soyb,Soybean,loss_pct,9,9,1.9100884979334722,0.3037316903306476,1.7116504602507825,2.108526535616162
ssp585,near_2020_2049,soyb,Soybean,loss_million_tonnes,9,9,2.8330754078626605,0.4429203715369271,2.5437007651252017,3.1224500506001194
ssp585,near_2020_2049,whea,Wheat,loss_pct,9,9,3.2413052156702244,0.4570138731018775,2.942722818576998,3.539887612763451
ssp585,near_2020_2049,whea,Wheat,loss_million_tonnes,9,9,13.035164649316265,1.8238923284035244,11.843554994759295,14.226774303873235
