scenario,period,crop,crop_label,metric,n,n_samples,mean,sd,ci95_low,ci95_high,mean_sd_ci
ssp585,mid_2050_2079,rice,Rice,loss_pct,9,9,5.919670799685974,0.4249014308099419,5.642068531556812,6.197273067815137,5.92 ? 0.42 (5.64-6.20)
ssp585,mid_2050_2079,rice,Rice,loss_million_tonnes,9,9,12.436127891010786,0.9653482016274376,11.805433732614194,13.066822049407378,12.44 ? 0.97 (11.81-13.07)
ssp585,mid_2050_2079,soyb,Soybean,loss_pct,9,9,2.5915202400967376,0.4831016563924976,2.2758938245869724,2.907146655606503,2.59 ? 0.48 (2.28-2.91)
ssp585,mid_2050_2079,soyb,Soybean,loss_million_tonnes,9,9,3.852993798364368,0.708401167498697,3.39017170226522,4.315815894463517,3.85 ? 0.71 (3.39-4.32)
ssp585,mid_2050_2079,whea,Wheat,loss_pct,9,9,4.095155262015557,0.9115776353832368,3.4995912068985087,4.690719317132605,4.10 ? 0.91 (3.50-4.69)
ssp585,mid_2050_2079,whea,Wheat,loss_million_tonnes,9,9,16.45838844023436,3.643696580101208,14.07784000790157,18.838936872567142,16.46 ? 3.64 (14.08-18.84)
ssp585,near_2020_2049,all4,Four crops,loss_pct,9,9,3.172556338051594,0.227156810273475,3.024147222006257,3.320965454096931,3.17 ? 0.23 (3.02-3.32)
ssp585,near_2020_2049,all4,Four crops,loss_million_tonnes,9,9,41.54715231111641,2.9780145629624357,39.60151612998096,43.49278849225187,41.55 ? 2.98 (39.60-43.49)
ssp585,near_2020_2049,maiz,Maize,loss_pct,9,9,3.1857535038118105,0.2268036370792746,3.0375751275866847,3.3339318800369364,3.19 ? 0.23 (3.04-3.33)
ssp585,near_2020_2049,maiz,Maize,loss_million_tonnes,9,9,17.551264266720626,1.2595066894853617,16.72838656292352,18.37414197051773,17.55 ? 1.26 (16.73-18.37)
ssp585,near_2020_2049,rice,Rice,loss_pct,9,9,3.901488217676621,0.3886247674526724,3.6475867029408753,4.155389732412367,3.90 ? 0.39 (3.65-4.16)
ssp585,near_2020_2049,rice,Rice,loss_million_tonnes,9,9,8.127647987216859,0.8910755942702115,7.545478598960321,8.709817375473397,8.13 ? 0.89 (7.55-8.71)
ssp585,near_2020_2049,soyb,Soybean,loss_pct,9,9,1.910088497933472,0.3037316903306476,1.7116504602507825,2.108526535616162,1.91 ? 0.30 (1.71-2.11)
ssp585,near_2020_2049,soyb,Soybean,loss_million_tonnes,9,9,2.8330754078626605,0.4429203715369271,2.5437007651252017,3.12245005060012,2.83 ? 0.44 (2.54-3.12)
ssp585,near_2020_2049,whea,Wheat,loss_pct,9,9,3.2413052156702244,0.4570138731018775,2.942722818576998,3.539887612763451,3.24 ? 0.46 (2.94-3.54)
ssp585,near_2020_2049,whea,Wheat,loss_million_tonnes,9,9,13.035164649316265,1.8238923284035244,11.843554994759296,14.226774303873237,13.04 ? 1.82 (11.84-14.23)
